technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,Claude Classification,Claude Reasoning,Claude Network_Artifact,Gork Classification,Grok Reasoning,Gork Network Artifact,GPT Classification,GPT Reasoning,GPT Network Artifact,Gemini Classification,Gemini Reasoning,Gemini Network Artifact
T1070,Indicator Removal,Adversaries may delete or modify artifacts generated within systems to remove evidence of their presence or hinder defenses. Various artifacts may be created by an adversary or something that can be attributed to an adversary’s actions. Typically these artifacts are used as defensive indicators rela...,defense-evasion,"Containers, ESXi, Linux, macOS, Network Devices, Office Suite, Windows",2,1,1,Medium,54,"Bankshot, Lazarus Group",Lazarus Group,Bankshot,NO,Indicator removal is local operation,None,NO,Local indicator removal no network traffic,None,NO,Removes indicators locally,None,NO,Local artifact deletion is invisible on wire,None
T1078,Valid Accounts,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used ...","defense-evasion, persistence, privilege-escalation, initial-access","Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",4,4,0,Common,53.45,"Carbanak, Indrik Spider, Lazarus Group, Silence","Carbanak, Indrik Spider, Lazarus Group, Silence",,PARTIAL,Valid account use hard to detect without behavior baseline,"Unusual login patterns, source anomalies",NO,Can be local use no network traffic,None,PARTIAL,Uses valid credentials to access services,"Unusual login patterns, remote connections",PARTIAL,Detectable via logon anomalies if authenticating remotely,"Unusual logon times, source IPs"
T1135,Network Share Discovery,Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement. Networks often contain shared network drives and folders that enable users...,discovery,"Linux, macOS, Windows",5,2,3,Common,52.4,"APT38, DarkVishnya, IcedID, QakBot, TrickBot","APT38, DarkVishnya","IcedID, QakBot, TrickBot",PARTIAL,Network share discovery may generate SMB enumeration traffic,"SMB enumeration, NetBIOS queries",YES,Share enumeration generates observable traffic,SMB discovery requests,YES,Enumerates network shares via SMB,SMB share scans,YES,SMB share enumeration visible on wire,"SMB Tree Connect, IPC$ traffic"
T1571,Non-Standard Port,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088(Citation: Symantec Elfin Mar 2019) or port 587(Citation: Fortinet Agent Tesla April 2018) as opposed to the traditional port 443. Adversaries may make changes to the sta...",command-and-control,"ESXi, Linux, macOS, Windows",5,3,2,Common,52.4,"Bankshot, DarkVishnya, Lazarus Group, Silence, TrickBot","DarkVishnya, Lazarus Group, Silence","Bankshot, TrickBot",YES,Non-standard port usage detectable via protocol-port mismatch,"Protocol on unexpected port, connection metadata",PARTIAL,Port-protocol mismatches conditionally detectable,Unusual port usage,YES,Uses uncommon ports for C2 traffic,Connections on non-standard ports,YES,Protocol mismatch on standard ports detectable,"TLS on 80, HTTP on 443"
T1033,System Owner/User Discovery,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using [OS Credential Dumping](https://attack.mitre.org/techni...",discovery,"Linux, macOS, Network Devices, Windows",5,2,3,Common,52.4,"APT38, Dyre, Lazarus Group, QakBot, TrickBot","APT38, Lazarus Group","Dyre, QakBot, TrickBot",NO,System owner discovery queries local system,None,NO,Local user discovery no network traffic,None,NO,Finds system owner/user locally,None,NO,Local user enumeration is invisible on wire,None
T1219,Remote Access Tools,"An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management soft...",command-and-control,"Linux, macOS, Windows",5,3,3,Common,52.4,"Carbanak, Cobalt Group, DarkVishnya, Dridex, TrickBot","Carbanak, Cobalt Group, DarkVishnya","Carbanak, Dridex, TrickBot",PARTIAL,Remote access tools use encrypted channels but show patterns,"Known RAT ports, connection patterns, certificate anomalies",PARTIAL,Tool traffic blends but anomalies possible,Unusual access patterns,PARTIAL,Remote access tools use encrypted channels,Encrypted remote session metadata,YES,Traffic from TeamViewer/AnyDesk visible via protocol analysis,Proprietary RMM protocol signatures
T1049,System Network Connections Discovery,"Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. 

An adversary who gains access to a system that is part of a cloud-based environment may map out Virtua...",discovery,"Windows, IaaS, Linux, macOS, Network Devices, ESXi",4,3,1,Common,51.4,"APT38, Andariel, Lazarus Group, QakBot","APT38, Andariel, Lazarus Group",QakBot,NO,Network connection discovery queries local netstat,None,NO,Local connection discovery no network traffic,None,NO,Lists network connections locally,None,NO,Local netstat execution is invisible on wire,None
T1059.007,JavaScript,"Adversaries may abuse various implementations of JavaScript for execution. JavaScript (JS) is a platform-independent scripting language (compiled just-in-time at runtime) commonly associated with scripts in webpages, though JS can be executed in runtime environments outside the browser.(Citation: No...",execution,"Linux, macOS, Windows",5,4,1,Common,51.4,"Cobalt Group, Indrik Spider, QakBot, Silence, TA505","Cobalt Group, Indrik Spider, Silence, TA505",QakBot,NO,JavaScript execution is local runtime processing,None,NO,Local JS execution no network traffic,None,NO,Executes JavaScript locally,None,NO,Local script execution generates no network traffic,None
T1564.003,Hidden Window,"Adversaries may use hidden windows to conceal malicious activity from the plain sight of users. In some cases, windows that would typically be displayed when an application carries out an operation can be hidden. This may be utilized by system administrators to avoid disrupting user work environment...",defense-evasion,"Linux, macOS, Windows",2,0,2,Medium,50,"TrickBot, Ursnif",,"TrickBot, Ursnif",NO,Hidden window is local UI operation,None,NO,Local window hiding no network traffic,None,NO,Creates hidden windows locally,None,NO,Local UI manipulation is invisible on wire,None
T1574.001,DLL,"Adversaries may abuse dynamic-link library files (DLLs) in order to achieve persistence, escalate privileges, and evade defenses. DLLs are libraries that contain code and data that can be simultaneously utilized by multiple programs. While DLLs are not malicious by nature, they can be abused through...","persistence, privilege-escalation, defense-evasion",Windows,4,2,2,Common,49.33,"Dridex, Lazarus Group, QakBot, RTM","Lazarus Group, RTM","Dridex, QakBot",NO,DLL hijacking is local file system operation,None,NO,Local DLL hijacking no network traffic,None,NO,Hijacks DLL search order locally,None,NO,Local DLL hijacking is invisible on wire,None
T1070.003,Clear Command History,"In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done.

On Linux ...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",1,1,0,Rare,49,Lazarus Group,Lazarus Group,,NO,Command history clearing is local file operation,None,NO,Local history clearing no network traffic,None,NO,Clears command history locally,None,NO,Local history deletion is invisible on wire,None
T1480.002,Mutual Exclusion,"Adversaries may constrain execution or actions based on the presence of a mutex associated with malware. A mutex is a locking mechanism used to synchronize access to a resource. Only one thread or process can acquire a mutex at a given time.(Citation: Microsoft Mutexes)

While local mutexes only exi...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49,APT38,APT38,,NO,Mutex checking is local system operation,None,NO,Local mutex usage no network traffic,None,NO,Ensures single malware instance locally,None,NO,Local mutex checking is invisible on wire,None
T1620,Reflective Code Loading,"Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads. Reflective loading involves allocating then executing payloads directly within the memory of the process, vice creating a thread or process backed by a file path on disk (e.g., [Shared Modu...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49,Lazarus Group,Lazarus Group,,NO,Reflective loading is local memory operation,None,NO,Local code loading no network traffic,None,NO,Loads code reflectively in memory,None,NO,Local memory loading is invisible on wire,None
T1218,System Binary Proxy Execution,"Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries. Binaries used in this technique are often Microsoft-signed files, indicating that they have been either downloaded from Microsoft or are already nati...",defense-evasion,"Windows, Linux, macOS",1,1,0,Rare,49,Lazarus Group,Lazarus Group,,NO,Proxy execution via binaries is local process launch,None,NO,Local binary execution no network traffic,None,NO,Executes via system binaries locally,None,PARTIAL,Detectable if binary fetches remote payload,HTTP/S requests from system binaries
T1218.003,CMSTP,Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles. (Citation: Microsoft Connection Manager Oct 2009) CMSTP.exe accepts an installation informat...,defense-evasion,Windows,1,1,0,Rare,49,Cobalt Group,Cobalt Group,,NO,CMSTP abuse is local process execution,None,NO,Local execution proxy no network traffic,None,PARTIAL,CMSTP may fetch remote INF scripts,Network call to remote INF,PARTIAL,Detectable if loading remote INF/SCT file,HTTP GET from cmstp.exe
T1220,XSL Script Processing,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes sup...",defense-evasion,Windows,1,1,0,Rare,49,Cobalt Group,Cobalt Group,,NO,XSL script processing is local file processing,None,NO,Local script processing no network traffic,None,PARTIAL,XSL processing may load remote scripts,HTTP requests for XSL payload,PARTIAL,Detectable if loading remote XSL file,HTTP GET for .xsl files
T1036.006,Space after Filename,"Adversaries can hide a program's true filetype by changing the extension of a file. With certain file types (specifically this does not work with .app extensions), appending a space to the end of a filename will change how the file is processed by the operating system.

For example, if there is a Ma...",defense-evasion,"Linux, macOS",1,1,0,Rare,49,APT38,APT38,,NO,Filename space trick is local filesystem operation,None,NO,Local filename trick no network traffic,None,NO,Uses space in filename to evade,None,NO,Local filename manipulation is invisible,None
T1027.007,Dynamic API Resolution,Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](https://attack.mitre.org/techniques/T1106) functions provided by the OS to perform various ...,defense-evasion,Windows,1,1,0,Rare,49,Lazarus Group,Lazarus Group,,NO,Dynamic API resolution is local code execution,None,NO,Local API resolution no network traffic,None,NO,Resolves APIs dynamically in memory,None,NO,Local API resolution is invisible on wire,None
T1218.008,Odbcconf,Adversaries may abuse odbcconf.exe to proxy execution of malicious payloads. Odbcconf.exe is a Windows utility that allows you to configure Open Database Connectivity (ODBC) drivers and data source names.(Citation: Microsoft odbcconf.exe) The Odbcconf.exe binary may be digitally signed by Microsoft....,defense-evasion,Windows,1,1,0,Rare,49,Cobalt Group,Cobalt Group,,NO,Odbcconf abuse is local process execution,None,NO,Local execution proxy no network traffic,None,NO,Executes DLLs via odbcconf locally,None,PARTIAL,Detectable if loading remote resource,Network connection from odbcconf.exe
T1562.013,Disable or Modify Network Device Firewall,"Adversaries may disable network device-based firewall mechanisms entirely or add, delete, or modify particular rules in order to bypass controls limiting network usage. 
 
Modifying or disabling a network firewall may enable adversary C2 communications, lateral movement, and/or data exfiltration tha...",defense-evasion,Network Devices,1,1,0,Rare,49,APT38,APT38,,PARTIAL,Network device firewall change affects traffic flow,Traffic pattern changes,PARTIAL,Device config changes via management traffic,Management flows to devices,PARTIAL,Modifies network device firewalls via management,Management connections to devices,PARTIAL,Detectable via management plane traffic analysis,SNMP/SSH to firewall interfaces
T1562.003,Impair Command History Logging,"Adversaries may impair command history logging to hide commands they run on a compromised system. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done. 

On Linux and macOS, command history is tracked in a file pointed to by...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",1,1,0,Rare,49,APT38,APT38,,NO,Command history logging impairment is local operation,None,NO,Local logging impairment no network traffic,None,NO,Impair command history logging locally,None,NO,Local logging config change is invisible,None
T1202,Indirect Command Execution,"Adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command-line interpreters. Various Windows utilities may be used to execute commands, possibly without invoking [cmd](https://attack.mitre.org/software/S0106). For example, [Forfile...",defense-evasion,Windows,1,1,0,Rare,49,Lazarus Group,Lazarus Group,,NO,Indirect command execution is local process launch,None,NO,Local command execution no network traffic,None,NO,Executes commands indirectly on host,None,NO,Local execution via legacy tools is invisible,None
T1016,System Network Configuration Discovery,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples inc...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",5,1,4,Common,48.4,"Dyre, IcedID, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Dyre, IcedID, QakBot, TrickBot",NO,Network config discovery queries local interfaces,None,NO,Local config discovery no network traffic,None,NO,Retrieves network configuration locally,None,NO,Local ipconfig/ifconfig execution is invisible,None
T1018,Remote System Discovery,"Adversaries may attempt to get a listing of other systems by IP address, hostname, or other logical identifier on a network that may be used for Lateral Movement from the current system. Functionality could exist within remote access tools to enable this, but utilities available on the operating sys...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",4,2,2,Common,47.4,"Indrik Spider, QakBot, Silence, TrickBot","Indrik Spider, Silence","QakBot, TrickBot",PARTIAL,Remote system discovery may generate scan traffic,"ICMP sweeps, port scans, ARP requests",YES,Discovery probes generate network traffic,"ICMP, ARP requests",YES,Scans remote systems on network,ICMP/NetBIOS scan traffic,PARTIAL,Active scanning visible; local cache lookup invisible,ARP/Ping sweeps vs local cache
T1055.012,Process Hollowing,"Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process.  

Process hollowing is commonly performed by creating a process in a suspe...","defense-evasion, privilege-escalation",Windows,4,0,4,Common,46.8,"IcedID, QakBot, TrickBot, Ursnif",,"IcedID, QakBot, TrickBot, Ursnif",NO,Process hollowing is local memory operation,None,NO,Local process hollowing no network traffic,None,NO,Uses process hollowing locally,None,NO,Local memory manipulation is invisible,None
T1189,Drive-by Compromise,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., [Drive-by Target](https://attack.mitre.org/techniques/T1608/004)), including:

* A legitimate website is compromised, allow...",initial-access,"Identity Provider, Linux, macOS, Windows",5,4,1,Common,46.8,"APT38, Andariel, IcedID, Lazarus Group, RTM","APT38, Andariel, Lazarus Group, RTM",IcedID,PARTIAL,Drive-by downloads may show exploit kit patterns,"Known malicious URLs, redirect chains",YES,Malicious web content delivery observable,"Exploit payloads, signatures",PARTIAL,Drive-by compromise via web; detection hindered by HTTPS,Malicious web content downloads,YES,Exploit traffic visible in HTTP response,"Malicious JavaScript, exploit kit signatures"
T1046,Network Service Discovery,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port, vulnerability, and/or wordlist scans using tools tha...",discovery,"Containers, IaaS, Linux, macOS, Network Devices, Windows",3,3,0,Medium,46.4,"Cobalt Group, DarkVishnya, Lazarus Group","Cobalt Group, DarkVishnya, Lazarus Group",,YES,Network service scanning generates observable traffic,"Port scan patterns, service probes, SYN packets",YES,Service scans produce observable traffic,Port scan patterns,YES,Discovers network services via port scanning,Port scan traffic patterns,YES,Port scanning generates distinct volumetric noise,"SYN scan, connection attempts"
T1021.001,Remote Desktop Protocol,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.

Remote desktop is a common feature in operating systems. It allows a user to log into an inte...",lateral-movement,Windows,5,4,1,Common,46.2,"Carbanak, Cobalt Group, Indrik Spider, Lazarus Group, Silence","Cobalt Group, Indrik Spider, Lazarus Group, Silence",Carbanak,PARTIAL,RDP encrypted but connection metadata observable,"Auth failures, unusual sources, timing",PARTIAL,RDP encrypted but metadata observable,"Port 3389 flows, auth patterns",PARTIAL,RDP sessions often encrypted; infer via metadata,"RDP connection metadata, timing",PARTIAL,Encrypted but flow metadata reveals usage,"RDP handshake, flow volume/duration"
T1027.001,Binary Padding,"Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitat...",defense-evasion,"Linux, Windows, macOS",1,0,1,Rare,45,QakBot,,QakBot,NO,Binary padding is static file modification,None,NO,Local binary padding no network traffic,None,NO,Pads binaries locally,None,NO,Local file modification is invisible,None
T1027.005,Indicator Removal from Tools,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets tha...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45,QakBot,,QakBot,NO,Indicator removal from tools is static modification,None,NO,Local tool modification no network traffic,None,NO,Removes indicators from tools locally,None,NO,Local tool modification is invisible,None
T1027.006,HTML Smuggling,Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into file-like objects. Dat...,defense-evasion,"Windows, Linux, macOS",1,0,1,Rare,45,QakBot,,QakBot,PARTIAL,HTML smuggling payloads may show in HTTP responses,"Unusual JavaScript patterns, blob construction",PARTIAL,Smuggled payloads visible if unencrypted,Suspicious HTML content,PARTIAL,HTML smuggling hides payloads in web traffic,Encoded payloads in HTTP bodies,YES,Malicious blob transfer visible in HTTP,"Base64 blobs, msSaveBlob in JS"
T1036.008,Masquerade File Type,"Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, icon, and contents. Various file types have a typical standard format, including how they are encoded and organized. For example, a file’s signatu...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45,QakBot,,QakBot,NO,File type masquerading is static file modification,None,NO,Local file type masquerade no network traffic,None,NO,Masquerades file type via extension,None,NO,Local file modification is invisible,None
T1014,Rootkit,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. (Citati...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45,Carberp,,Carberp,NO,Rootkit installation is local kernel operation,None,NO,Local rootkit installation no network traffic,None,NO,Installs rootkits locally,None,NO,Local kernel modification is invisible,None
T1027.011,Fileless Storage,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common examples of non-volatile fileless storage in Windows systems include the Windows Registry, event logs, or WMI repository.(Cita...",defense-evasion,"Windows, Linux",1,0,1,Rare,45,QakBot,,QakBot,NO,Fileless storage uses local registry/WMI,None,NO,Local fileless storage no network traffic,None,NO,Stores payloads filelessly,None,NO,Local storage in WMI/Registry is invisible,None
T1036,Masquerading,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation. T...",defense-evasion,"Containers, ESXi, Linux, macOS, Windows",1,0,1,Rare,45,TrickBot,,TrickBot,NO,Masquerading is local naming/location modification,None,NO,Local masquerading no network traffic,None,NO,General masquerading of artifacts,None,NO,Local file renaming/moving is invisible,None
T1548.002,Bypass User Account Control,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user ...","privilege-escalation, defense-evasion",Windows,2,2,0,Medium,44.8,"APT38, Cobalt Group","APT38, Cobalt Group",,NO,UAC bypass is local privilege operation,None,NO,Local UAC bypass no network traffic,None,NO,Bypasses UAC locally,None,NO,Local privilege elevation is invisible,None
T1497.003,Time Based Checks,"Adversaries may employ various time-based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time. This may include enumerating time-based properties, such as uptime or the system clock. 

Adversarie...","defense-evasion, discovery","Linux, macOS, Windows",3,0,3,Medium,44.7,"QakBot, TrickBot, Ursnif",,"QakBot, TrickBot, Ursnif",NO,Time-based VM checks are local system queries,None,NO,Local time checks no network traffic,None,NO,Uses time-based checks for evasion,None,NO,Local execution delay is invisible,None
T1573.001,Symmetric Cryptography,Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symme...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",5,1,4,Common,44.4,"Carbanak, Dridex, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, Dridex, QakBot, TrickBot",PARTIAL,Encrypted C2 hides payload but metadata visible,"Flow patterns, timing anomalies, unusual destinations",PARTIAL,Encrypted C2 metadata analyzable,"Flow anomalies, timing",PARTIAL,C2 uses symmetric encryption,"Encrypted C2 metadata (JA3, timing)",PARTIAL,Payload blind but entropy/flow visible,"High entropy flow, unidentifiable proto"
T1542.003,Bootkit,"Adversaries may use bootkits to persist on systems. A bootkit is a malware variant that modifies the boot sectors of a hard drive, allowing malicious code to execute before a computer's operating system has loaded. Bootkits reside at a layer below the operating system and may make it difficult to pe...","persistence, defense-evasion","Linux, Windows",3,1,2,Medium,44.2,"Carberp, Lazarus Group, TrickBot",Lazarus Group,"Carberp, TrickBot",NO,Bootkit installation is local disk operation,None,NO,Local bootkit installation no network traffic,None,NO,Installs bootkit on disk,None,NO,MBR modification is invisible on wire,None
T1090.002,External Proxy,"Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre...",command-and-control,"ESXi, Linux, Network Devices, Windows, macOS",4,2,2,Common,43.4,"Lazarus Group, QakBot, Silence, TrickBot","Lazarus Group, Silence","QakBot, TrickBot",PARTIAL,External proxy connections visible but content encrypted,"Unusual proxy destinations, flow patterns",PARTIAL,Proxied traffic shows flow anomalies,Unusual proxy endpoints,PARTIAL,Uses external proxies to hide traffic,Connections to external proxy servers,YES,Traffic to known proxy/TOR nodes visible,Connections to proxy reputation lists
T1047,Windows Management Instrumentation,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management data and operations on Windows systems.(Citation: WMI 1-3) WMI is an administration feature that provides a uniform envi...,execution,Windows,5,2,3,Common,43.4,"IcedID, Indrik Spider, Lazarus Group, QakBot, Ursnif","Indrik Spider, Lazarus Group","IcedID, QakBot, Ursnif",PARTIAL,WMI may generate network traffic for remote execution,"WMI/DCOM traffic, RPC calls",YES,WMI over network visible in RPC traffic,WMI query payloads,PARTIAL,WMI remote commands use DCOM RPC,DCOM/RPC traffic on port 135,PARTIAL,Remote WMI visible via RPC/DCOM flows,"RPCSS, IRemUnknown2 interface UUIDs"
T1555.003,Credentials from Web Browsers,Adversaries may acquire credentials from web browsers by reading files specific to the target browser.(Citation: Talos Olympic Destroyer 2018) Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers ty...,credential-access,"Linux, macOS, Windows",5,2,3,Common,43.4,"Carberp, Malteiro, QakBot, TA505, TrickBot","Malteiro, TA505","Carberp, QakBot, TrickBot",NO,Browser credential theft reads local files,None,NO,Local credential access no network traffic,None,NO,Extracts credentials from web browsers locally,None,NO,Local file access is invisible,None
T1007,System Service Discovery,"Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>....",discovery,"Linux, macOS, Windows",4,1,3,Common,43.4,"Dyre, Indrik Spider, TrickBot, Ursnif",Indrik Spider,"Dyre, TrickBot, Ursnif",NO,Service discovery queries local SCM,None,NO,Local service discovery no network traffic,None,NO,Lists system services locally,None,NO,Local service query is invisible,None
T1566.002,Spearphishing Link,Adversaries may send spearphishing emails with a malicious link in an attempt to gain access to victim systems. Spearphishing with a link is a specific variant of spearphishing. It is different from other forms of spearphishing in that it employs the use of links to download malware contained in ema...,initial-access,"Identity Provider, Linux, macOS, Office Suite, SaaS, Windows",5,3,2,Common,42.8,"Cobalt Group, Lazarus Group, QakBot, TA505, TrickBot","Cobalt Group, Lazarus Group, TA505","QakBot, TrickBot",PARTIAL,Spearphishing link visible via URL in email/logs,"Malicious URL patterns, redirect chains",PARTIAL,Email with link visible but often encrypted,Link signatures if unencrypted,PARTIAL,Phishing links via email delivered over SMTP,Suspicious URLs in emails,YES,Email delivery and subsequent click visible,"URL in email, HTTP request to link"
T1056.001,Keylogging,"Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) efforts are not effective, and may require an adversary to ...","collection, credential-access","Linux, macOS, Network Devices, Windows",5,2,3,Common,42.7,"APT38, Carbanak, Lazarus Group, QakBot, Zeus Panda","APT38, Lazarus Group","Carbanak, QakBot, Zeus Panda",NO,Keylogging captures local input without network,None,NO,Local keylogging no network traffic,None,NO,Captures keystrokes locally,None,NO,Local input capture is invisible,None
T1203,Exploitation for Client Execution,Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the pur...,execution,"Linux, macOS, Windows",4,3,1,Common,42.4,"Andariel, Bankshot, Cobalt Group, Lazarus Group","Andariel, Cobalt Group, Lazarus Group",Bankshot,PARTIAL,Client exploitation may show in malformed content delivery,"Malformed documents, exploit signatures in downloads",NO,Local exploit execution no network traffic,None,YES,Exploits client software via network,"Exploit payloads, protocol violations",YES,Exploit payload visible in traffic,"Shellcode patterns, NOP sleds"
T1204.001,Malicious Link,An adversary may rely upon a user clicking a malicious link in order to gain execution. Users may be subjected to social engineering to get them to click on a link that will lead to code execution. This user action will typically be observed as follow-on behavior from [Spearphishing Link](https://at...,execution,"Linux, macOS, Windows",4,3,1,Common,42.4,"APT38, Cobalt Group, QakBot, TA505","APT38, Cobalt Group, TA505",QakBot,PARTIAL,Malicious link click generates HTTP request to malicious URL,"URL reputation, redirect chains",YES,Link access generates observable traffic,"Malicious URLs, downloads",PARTIAL,Malicious links deliver payloads over web,HTTP GET to malicious domains,YES,HTTP request to malicious URL visible,"DNS query, HTTP GET"
T1041,Exfiltration Over C2 Channel,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,exfiltration,"ESXi, Linux, macOS, Windows",7,1,6,High-Priority,42.2,"Bankshot, Carberp, Dyre, Lazarus Group, QakBot, TrickBot, Ursnif",Lazarus Group,"Bankshot, Carberp, Dyre, QakBot, TrickBot, Ursnif",PARTIAL,C2 exfil blends with C2 traffic; encrypted channel hides data,"Volume anomalies, timing patterns",PARTIAL,Exfil blended in C2 detectable by volume,Unusual data outflows,PARTIAL,Exfil via existing C2 channel,C2 traffic carrying data,YES,Upload volume spikes on C2 channel,Byte count out > Byte count in
T1074.001,Local Data Staging,Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells m...,collection,"ESXi, Linux, macOS, Windows",5,2,3,Common,42,"Dyre, Indrik Spider, Lazarus Group, QakBot, Ursnif","Indrik Spider, Lazarus Group","Dyre, QakBot, Ursnif",NO,Local data staging is filesystem operation,None,NO,Local data staging no network traffic,None,NO,Stages data locally,None,NO,Local file creation is invisible,None
